month,hbt,departmenttype,attendances,within_4h,over_4h,over_8h,over_12h,pct_within_4h,pct_over_4h,pct_over_8h,pct_over_12h,total_referral_attendances
2015-03-01,S08000022,Type 3,174,174,0,,,1.0,0.0,,,
2015-03-01,S08000022,Type 3,137,137,0,,,1.0,0.0,,,
2015-03-01,S08000022,Type 3,164,164,0,,,1.0,0.0,,,
2015-03-01,S08000022,Type 3,329,314,15,,,0.9544072948328267,0.04559270516717325,,,
2015-03-01,S08000022,Type 3,140,140,0,,,1.0,0.0,,,
2015-03-01,S08000022,Type 3,46,45,1,,,0.9782608695652174,0.021739130434782608,,,
2015-03-01,S08000032,Type 1,5834,5600,234,0.0,0.0,0.9598902982516284,0.04010970174837161,0.0,0.0,
2015-03-01,S08000032,Type 3,47,47,0,,,1.0,0.0,,,
2015-03-01,S08000032,Type 3,78,78,0,,,1.0,0.0,,,
2015-03-01,S08000032,Type 1,4848,4426,422,79.0,18.0,0.9129537953795379,0.08704620462046204,0.016295379537953795,0.0037128712871287127,
2015-03-01,S08000032,Type 1,5075,4429,646,101.0,10.0,0.8727093596059113,0.12729064039408866,0.019901477832512317,0.0019704433497536944,
2015-03-01,S08000024,Type 3,97,97,0,,,1.0,0.0,,,
2015-03-01,S08000024,Type 3,3510,3048,462,86.0,22.0,0.8683760683760684,0.13162393162393163,0.0245014245014245,0.0062678062678062675,
2015-03-01,S08000024,Type 1,4613,4283,330,34.0,3.0,0.9284630392369391,0.07153696076306092,0.007370474745285064,0.0006503360069369175,
2015-03-01,S08000024,Type 1,9635,8879,756,111.0,4.0,0.921536066424494,0.07846393357550596,0.01152049818370524,0.0004151530877010898,
2015-03-01,S08000024,Type 1,4151,4081,70,1.0,0.0,0.9831365935919055,0.016863406408094434,0.0002409058058299205,0.0,
2015-03-01,S08000025,Type 1,391,390,1,0.0,0.0,0.9974424552429667,0.0025575447570332483,0.0,0.0,
2015-03-01,S08000026,Type 1,654,636,18,0.0,0.0,0.9724770642201835,0.027522935779816515,0.0,0.0,
2015-03-01,S08000030,Type 1,3886,3862,24,0.0,0.0,0.9938239835306227,0.006176016469377252,0.0,0.0,
2015-03-01,S08000030,Type 1,2107,2071,36,1.0,0.0,0.9829140958709065,0.0170859041290935,0.00047460844803037496,0.0,
2015-03-01,S08000030,Type 3,23,23,0,0.0,0.0,1.0,0.0,0.0,0.0,
2015-03-01,S08000030,Type 3,7,7,0,0.0,0.0,1.0,0.0,0.0,0.0,
2015-03-01,S08000030,Type 3,267,266,1,0.0,0.0,0.9962546816479401,0.003745318352059925,0.0,0.0,
2015-03-01,S08000030,Type 3,1024,1024,0,0.0,0.0,1.0,0.0,0.0,0.0,
2015-03-01,S08000030,Type 3,265,265,0,0.0,0.0,1.0,0.0,0.0,0.0,
2015-03-01,S08000030,Type 3,118,118,0,0.0,0.0,1.0,0.0,0.0,0.0,
2015-03-01,S08000030,Type 3,664,664,0,0.0,0.0,1.0,0.0,0.0,0.0,
2015-03-01,S08000030,Type 3,107,107,0,0.0,0.0,1.0,0.0,0.0,0.0,
2015-03-01,S08000030,Type 3,484,484,0,0.0,0.0,1.0,0.0,0.0,0.0,
2015-03-01,S08000028,Type 3,18,18,0,,,1.0,0.0,,,
2015-03-01,S08000028,Type 1,502,496,6,0.0,0.0,0.9880478087649402,0.01195219123505976,0.0,0.0,
2015-03-01,S08000028,Type 3,89,89,0,,,1.0,0.0,,,
2015-04-01,S08000015,Type 3,194,192,2,,,0.9896907216494846,0.010309278350515464,,,
2015-04-01,S08000015,Type 3,46,46,0,,,1.0,0.0,,,
2015-04-01,S08000015,Type 1,6061,5258,803,122.0,22.0,0.867513611615245,0.132486388384755,0.020128691635043723,0.003629764065335753,
2015-04-01,S08000015,Type 1,3507,3149,358,23.0,5.0,0.8979184488166524,0.1020815511833476,0.006558311947533505,0.00142571998859424,
2015-04-01,S08000015,Type 3,93,93,0,,,1.0,0.0,,,
2015-04-01,S08000016,Type 3,12,12,0,,,1.0,0.0,,,
2015-04-01,S08000016,Type 3,97,97,0,,,1.0,0.0,,,
2015-04-01,S08000016,Type 3,8,8,0,,,1.0,0.0,,,
2015-04-01,S08000016,Type 3,40,40,0,,,1.0,0.0,,,
2015-04-01,S08000016,Type 1,2287,2167,120,2.0,0.0,0.9475295146480105,0.052470485351989504,0.0008745080891998251,0.0,
2015-04-01,S08000017,Type 3,16,16,0,,,1.0,0.0,,,
2015-04-01,S08000017,Type 3,30,30,0,,,1.0,0.0,,,
2015-04-01,S08000017,Type 3,5,5,0,,,1.0,0.0,,,
2015-04-01,S08000017,Type 3,14,14,0,0.0,0.0,1.0,0.0,0.0,0.0,
2015-04-01,S08000017,Type 1,1009,981,28,3.0,0.0,0.9722497522299306,0.027750247770069375,0.002973240832507433,0.0,
2015-04-01,S08000017,Type 1,2732,2615,117,3.0,0.0,0.9571742313323572,0.042825768667642754,0.0010980966325036604,0.0,
2015-04-01,S08000029,Type 1,5172,4806,366,43.0,12.0,0.9292343387470998,0.07076566125290024,0.008313998453209591,0.002320185614849188,
2015-04-01,S08000029,Type 3,133,133,0,,,1.0,0.0,,,
2015-04-01,S08000029,Type 3,410,410,0,,,1.0,0.0,,,
2015-04-01,S08000029,Type 3,1825,1824,1,0.0,0.0,0.9994520547945206,0.000547945205479452,0.0,0.0,
2015-04-01,S08000019,Type 3,1375,1374,1,0.0,0.0,0.9992727272727273,0.0007272727272727272,0.0,0.0,
2015-04-01,S08000019,Type 1,5113,4711,402,5.0,0.0,0.9213768824564835,0.07862311754351653,0.0009778994719342852,0.0,
2015-04-01,S08000020,Type 1,4607,4212,395,28.0,1.0,0.9142609073149555,0.0857390926850445,0.006077707835901888,0.00021706099413935315,
2015-04-01,S08000020,Type 1,1466,1446,20,1.0,0.0,0.9863574351978172,0.013642564802182811,0.0006821282401091405,0.0,
2015-04-01,S08000020,Type 3,106,106,0,,,1.0,0.0,,,
2015-04-01,S08000020,Type 3,6,6,0,,,1.0,0.0,,,
2015-04-01,S08000020,Type 3,24,24,0,,,1.0,0.0,,,
2015-04-01,S08000020,Type 3,1357,1354,3,,,0.997789240972734,0.002210759027266028,,,
2015-04-01,S08000020,Type 3,691,687,4,,,0.9942112879884226,0.005788712011577424,,,
2015-04-01,S08000020,Type 3,275,272,3,,,0.9890909090909091,0.01090909090909091,,,
2015-04-01,S08000020,Type 3,192,192,0,,,1.0,0.0,,,
2015-04-01,S08000020,Type 3,289,282,7,,,0.9757785467128027,0.02422145328719723,,,
2015-04-01,S08000020,Type 1,2003,1921,82,6.0,0.0,0.9590614078881677,0.040938592111832255,0.0029955067398901645,0.0,
2015-04-01,S08000020,Type 3,48,48,0,,,1.0,0.0,,,
2015-04-01,S08000020,Type 3,41,41,0,,,1.0,0.0,,,
2015-04-01,S08000020,Type 3,91,91,0,,,1.0,0.0,,,
2015-04-01,S08000020,Type 3,21,21,0,,,1.0,0.0,,,
2015-04-01,S08000020,Type 3,101,101,0,,,1.0,0.0,,,
2015-04-01,S08000020,Type 3,59,59,0,,,1.0,0.0,,,
2015-04-01,S08000031,Type 3,1323,1254,69,2.0,0.0,0.9478458049886621,0.05215419501133787,0.0015117157974300832,0.0,
2015-04-01,S08000031,Type 1,2637,2463,174,5.0,0.0,0.9340159271899886,0.06598407281001138,0.0018960940462646946,0.0,
2015-04-01,S08000031,Type 1,5463,4767,696,47.0,0.0,0.8725974739154311,0.12740252608456892,0.008603331502837269,0.0,
2015-04-01,S08000031,Type 1,6612,5837,775,28.0,0.0,0.882788868723533,0.11721113127646703,0.004234724742891712,0.0,
2015-04-01,S08000031,Type 3,1562,1561,1,0.0,0.0,0.9993597951344431,0.0006402048655569782,0.0,0.0,
2015-04-01,S08000031,Type 1,4887,4173,714,61.0,1.0,0.8538980969920197,0.14610190300798034,0.012482095355023532,0.0002046245140167792,
2015-04-01,S08000031,Type 3,1957,1957,0,0.0,0.0,1.0,0.0,0.0,0.0,
2015-04-01,S08000031,Type 1,3944,3462,482,11.0,0.0,0.8777890466531441,0.12221095334685599,0.002789046653144016,0.0,
2015-04-01,S08000031,Type 1,4019,3996,23,0.0,0.0,0.99427718337895,0.005722816621050012,0.0,0.0,
2015-04-01,S08000031,Type 1,4660,3859,801,55.0,0.0,0.8281115879828326,0.17188841201716737,0.011802575107296138,0.0,
2015-04-01,S08000022,Type 3,525,525,0,,,1.0,0.0,,,
2015-04-01,S08000022,Type 3,101,101,0,,,1.0,0.0,,,
2015-04-01,S08000022,Type 3,392,384,8,,,0.9795918367346939,0.02040816326530612,,,
2015-04-01,S08000022,Type 1,605,590,15,0.0,0.0,0.9752066115702479,0.024793388429752067,0.0,0.0,
2015-04-01,S08000022,Type 3,456,454,2,,,0.9956140350877193,0.0043859649122807015,,,
2015-04-01,S08000022,Type 3,222,220,2,,,0.990990990990991,0.009009009009009009,,,
2015-04-01,S08000022,Type 1,489,459,30,2.0,0.0,0.9386503067484663,0.06134969325153374,0.00408997955010225,0.0,
2015-04-01,S08000022,Type 3,28,28,0,,,1.0,0.0,,,
2015-04-01,S08000022,Type 1,2701,2573,128,3.0,0.0,0.9526101443909664,0.04738985560903369,0.0011106997408367272,0.0,
2015-04-01,S08000022,Type 3,439,439,0,,,1.0,0.0,,,
2015-04-01,S08000022,Type 3,92,92,0,,,1.0,0.0,,,
2015-04-01,S08000022,Type 1,723,707,16,1.0,0.0,0.9778699861687413,0.022130013831258646,0.0013831258644536654,0.0,
2015-04-01,S08000022,Type 3,362,362,0,,,1.0,0.0,,,
2015-04-01,S08000022,Type 3,200,200,0,,,1.0,0.0,,,
2015-04-01,S08000022,Type 3,135,135,0,,,1.0,0.0,,,
2015-04-01,S08000022,Type 3,156,156,0,,,1.0,0.0,,,
2015-04-01,S08000022,Type 3,342,332,10,,,0.9707602339181286,0.029239766081871343,,,
2015-04-01,S08000022,Type 3,145,145,0,,,1.0,0.0,,,
2015-04-01,S08000022,Type 3,89,87,2,,,0.9775280898876404,0.02247191011235955,,,
2015-04-01,S08000032,Type 1,5466,5163,303,5.0,1.0,0.9445664105378705,0.05543358946212953,0.0009147457006952067,0.00018294914013904133,
2015-04-01,S08000032,Type 3,55,55,0,,,1.0,0.0,,,
2015-04-01,S08000032,Type 3,85,85,0,,,1.0,0.0,,,
2015-04-01,S08000032,Type 1,4838,4163,675,117.0,51.0,0.8604795369987598,0.13952046300124019,0.024183546920214963,0.010541546093427036,
2015-04-01,S08000032,Type 1,4976,4456,520,93.0,13.0,0.8954983922829582,0.1045016077170418,0.018689710610932476,0.002612540192926045,
2015-04-01,S08000024,Type 3,108,108,0,,,1.0,0.0,,,
2015-04-01,S08000024,Type 3,3418,3015,403,74.0,26.0,0.8820947922761849,0.1179052077238151,0.021650087770626096,0.0076067875950848445,
2015-04-01,S08000024,Type 1,4379,4085,294,19.0,0.0,0.9328613838775976,0.06713861612240238,0.004338890157570221,0.0,
2015-04-01,S08000024,Type 1,9440,8839,601,76.0,2.0,0.9363347457627119,0.06366525423728814,0.008050847457627118,0.000211864406779661,
2015-04-01,S08000024,Type 1,3820,3762,58,1.0,0.0,0.9848167539267015,0.015183246073298429,0.0002617801047120419,0.0,
2015-04-01,S08000025,Type 1,409,400,9,0.0,0.0,0.9779951100244498,0.022004889975550123,0.0,0.0,
